row,deposit,parameter,value,unit,quote,source,page_pdf,page_printed,doc_date,status_t0,note
12,White Pine (Nonesuch Shale),lateral extent of anomalous Cu,250,km (at least),contains anomalous copper over a distance of at least 250 kilometers,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",184,174,1973,pre-t0,belt length
13,White Pine (Nonesuch Shale),share of US production,5,percent,About 5 percent of the U.S. copper production comes from this single bed,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",184,174,1973,pre-t0,
14,White Pine and Keweenaw Point,production plus reserves per district,7-8,Mt Cu (short tons),amount to 7 or 8 million tons of metal for each deposit but in lower grade ore,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",188,178,1973,pre-t0,
15,White Pine (Nonesuch Shale),subeconomic Cu in mineralized beds,11,Mt Cu (short tons),11 million tons of copper metal exists in currently subeconomic mineralized beds,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",194,184,1973,pre-t0,W. S. White oral commun. 1972
16,White Pine / Portage Lake,stratigraphic gap basalt to ore,110-1850,m,"350-6,000 feet (110-1,850 m) above","Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",189,179,1973,pre-t0,"Nonesuch above Portage Lake Volcanics; vertical, not lateral reach"
17,Environment 9,favourable environment,basal transgressive marine rocks over weathered crystalline rocks,text,Basal transgressive marine rocks directly overlying deeply weathered crystalline rocks,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",187,177,1973,pre-t0,"Kupferschiefer, Roan"
18,Environment 10,favourable environment,porous strata updip and marginal to buried basaltic volcanics,text,Porous strata updip and marginal to deeply buried volcanic rocks of basaltic to intermediate composition,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",187,177,1973,pre-t0,"Portage Lake, perhaps Nonesuch; closest 1973 statement of the basalt-margin rule"
19,Environments 1-11,coincidence,several environments raise probability,text,a coincidence of several may greatly increase the probability,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",188,178,1973,pre-t0,qualitative support for a multiplier
20,Udokan,contained Cu,> 10,Mt Cu (short tons),an estimated reserve of at least 10 million tons of metallic copper,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",185,175,1973,pre-t0,Sutulov 1972
21,Dzhezkazgan,contained Cu and grade,> 3.5 at 1.6,Mt Cu at percent Cu,more than 3.5 million tons copper metal in ore containing 1.6 percent copper,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",186,176,1973,pre-t0,implies > 220 Mt ore
22,Belt Supergroup (Revett),ore tonnage and grade,up to 1000 at 0.5-1.0,Mt ore at percent Cu,as much as 1 billion tons of ore with an average grade of 0.5-1.0 percent copper,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",185,175,1973,pre-t0,low-grade belt
23,Red Sea brine sediments,tonnage and grade,50 at 1.3,Mt at percent Cu,50 million tons of brine-free sediment averaging 1.3 percent copper,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",186,176,1973,pre-t0,not a sediment-hosted analog in the rule sense
24,World,share of identified Cu in sedimentary rocks,25,percent,A fourth of the world's identifiable copper resources is in sedimentary rocks,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",179,169,1973,pre-t0,
25,Africa,identified / hypothetical Cu resources,53 / 50,Mt Cu (short tons),"Africa 53 50 (table 39, read from page image)","Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",190,180,1973,pre-t0,page image read; text layer is scrambled. 53 of world 344 matches the 15 percent in row 5
26,Europe excl. USSR,identified / hypothetical Cu resources,25 / 20,Mt Cu (short tons),"Europe, excluding U.S.S.R. 25 20 (table 39, read from page image)","Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",190,180,1973,pre-t0,page image read; text layer is scrambled
27,Kupferschiefer (Mansfeld),ore bed thickness,0.13-0.51 (mean 0.23),m,"varies in thickness from five inches or less to twenty inches, the average being about nine inches","White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",1,64,1942,pre-t0,"5-20 in, mean 9 in"
28,Kupferschiefer (Mansfeld),host shale area,18130,km2,The shale underlies an area of 7000 square miles,"White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",1,64,1942,pre-t0,7000 sq mi
29,Kupferschiefer (Mansfeld),area mined plus reserves,155,km2,"Fifty square miles have been worked out, and known reserves are estimated at ten square miles","White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",1,64,1942,pre-t0,60 sq mi; ore fraction of host area = 0.0086
30,Kupferschiefer (Mansfeld),ore area fraction,0.0086,fraction,only a small fraction of it is known to be mineralized,"White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",1,64,1942,pre-t0,computed: 60 / 7000 sq mi
31,Kupferschiefer (Mansfeld),cumulative Cu produced,> 1.5,Mt Cu,have produced upwards of a million and a half tons of copper,"White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",1,64,1942,pre-t0,over 744 years
32,Kupferschiefer (Mansfeld),mined grade,2.5-2.8,percent Cu,The ore as mined contains from 2.5 to 2.8 percent copper,"White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",1,64,1942,pre-t0,
33,Kupferschiefer (Mansfeld),redox control,red overlying limestone means barren shale,text,Where the overlying limestone has a red color the shale beneath it is barren of copper,"White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",2,65,1942,pre-t0,oxidised cap kills ore; supports the reduced-facies condition
34,Kupferschiefer (Mansfeld),fault control,ore richer near base and faults,text,It is more concentrated near the base and near the faults,"White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",3,66,1942,pre-t0,qualitative support for a structural multiplier
35,Kupferschiefer (Mansfeld),syncline width,24,km,The distance on the surface between the outcrops of the north limb and those of the south limb is 15 miles,"White, C.H. 1942, Notes on the origin of the Mansfeld copper deposits, Econ. Geol. 37, 64-68",1,64,1942,pre-t0,15 mi
36,Copperbelt (Zambia),ore layer thickness,< 15 (most cases),m,"concentrated in a relatively thin layer of sediments, in most cases less than 50 feet","Gillson, J.L. 1963, The Northern Rhodesian Copperbelt; is it a classic example of syngenetic deposition?, Econ. Geol. 58, 375-390 (review quoting Mendelsohn 1961)",9,383,1963,pre-t0,50 ft
37,Copperbelt (Nchanga),mineralized section thickness,> 91,m,ore can be traced almost continuously in places from granite through more than 300 feet of sediments,"Gillson, J.L. 1963, The Northern Rhodesian Copperbelt; is it a classic example of syngenetic deposition?, Econ. Geol. 58, 375-390 (review quoting Mendelsohn 1961)",5,379,1963,pre-t0,"quoting Mendelsohn 1961, Nchanga chapter; 300 ft"
38,Copperbelt (Chibuluma),ore position,about 9 m below Upper-Lower Roan contact,text,"confined to a sericitic quartzite, lying approximately 30 feet below the Upper Roan-Lower Roan contact","Gillson, J.L. 1963, The Northern Rhodesian Copperbelt; is it a classic example of syngenetic deposition?, Econ. Geol. 58, 375-390 (review quoting Mendelsohn 1961)",7,381,1963,pre-t0,quoting Winfield in Mendelsohn 1961
39,Copperbelt,lineament length,> 320,km,The perfection of the copper lineament over a distance of 200 miles or more,"Gillson, J.L. 1963, The Northern Rhodesian Copperbelt; is it a classic example of syngenetic deposition?, Econ. Geol. 58, 375-390 (review quoting Mendelsohn 1961)",4,378,1963,pre-t0,quoting Brock in Mendelsohn 1961; belt scale
40,Copperbelt,original Cu endowment and arc length,500 Mt Cu along 640 km,Mt Cu; km,C.F. Davidson guessed the original amount at 500 million tons of copper,"Gillson, J.L. 1963, The Northern Rhodesian Copperbelt; is it a classic example of syngenetic deposition?, Econ. Geol. 58, 375-390 (review quoting Mendelsohn 1961)",8,382,1963,pre-t0,arc of coastline 400 mi; about 1.25 Mt Cu per mile; speculative
41,Copperbelt,mafic intrusions near deposits,gabbro near each major deposit,text,"Dr. Garlick ignores the gabbro, which is found near each major deposit","Gillson, J.L. 1963, The Northern Rhodesian Copperbelt; is it a classic example of syngenetic deposition?, Econ. Geol. 58, 375-390 (review quoting Mendelsohn 1961)",2,376,1963,pre-t0,epigenetic argument; mafic proximity analogous to the basalt-margin reach
42,Copperbelt,zoning,"barren, chalcopyrite, pyrite",text,the sequence barren-chalcopyrite-pyrite,"Gillson, J.L. 1963, The Northern Rhodesian Copperbelt; is it a classic example of syngenetic deposition?, Econ. Geol. 58, 375-390 (review quoting Mendelsohn 1961)",7,381,1963,pre-t0,Chibuluma; symmetric about central pyritic zone
43,Kupferschiefer sea,persistent reduced basin,"water depth 90-180 m, no aerated episodes",text,The Kupferschiefer deposits show no periodic change to aerated conditions,"Love, L.G. 1962, Biogenic primary sulfide of the Permian Kupferschiefer and Marl Slate, Econ. Geol. 57, 350-366",13,362,1962,pre-t0,Schuchert 300-600 ft
44,Copperbelt (Roan Antelope),ore host,"ore in shales, not basal conglomerates",text,The copper minerals are found in the shales,"Douglas, G.V. 1955, Discussion: Origin of the Roan Antelope copper deposit, Econ. Geol. 50, 82-83",2,83,1955,pre-t0,"discussion letter only; the main 1954 paper (Econ. Geol. 49, 575-616) not placed"
45,White Pine (Nonesuch Shale),ore grade,1-5 (laminated bed); 1-2 (massive bed),percent Cu,The laminated bed at the base of the parting shale generally contains 1 to 5 percent copper ... the upper part of the massive siltstone bed typically contains 1 to 2 percent copper,"White, W.S. and Wright, J.C. 1954, The White Pine copper deposit, Econ. Geol. 49, 675-716",9,683,1954,pre-t0,grade of the ore beds; PP 820 gives 7-8 Mt Cu 'in lower grade ore' without a number
46,White Pine (Nonesuch Shale),sample grade over ore interval,2.49 over 0.38 m,percent Cu,Combining these two samples gives 15 inches with an average grade of 2.49 percent copper,"White, W.S. and Wright, J.C. 1954, The White Pine copper deposit, Econ. Geol. 49, 675-716",26,700,1954,pre-t0,one worked example in the paper
