article_id,title,matches_pattern
1372,Volume 114 (1991),False
1373,Fascicule 1 (Proceedings of the International Meeting on the Caledonides of the Midlands and the Brabant Massif),False
1481,"Fascicule 2 (Guidebook to the excursion on the stratigraphy and magmatic rocks of the Brabant Massif, Belgium)",False
1146,Volume 113 (1990),False
1147,Fascicule 1 (Table onomastique des articles T. 61(1937-38) - T. 112 (1989)),False
1157,Fascicule 2,False
707,Volume 112 (1989),False
708,Fascicule 1,False
1014,Fascicule 2 (Tectonique actuelle et récente en Belgique),False
61,Volume 111 (1988),False
62,Fascicule 1 (Sédimentologie karstique),False
63,Fascicule 2 (Deep seismics and drillings),False
2245,Volume 110 (1987),False
2246,"Fascicule 1 (Upper Cretaceous and Dinantian geology and hydrogeology of the Thermae boreholes of Valkenburg aan de Geul (South-Limburg, the Netherlands))",False
2279,Fascicule 2,False
2356,Volume 109 (1986),False
2357,Fascicule 1 (Late Devonian events around the Old Red Continent),False
2509,Fascicule 2,False
2628,Volume 108 (1985),False
2629,Volume complet,False
2896,Volume 107 (1984),False
2897,Volume complet,False
3063,Volume 106 (1983),False
3064,Fascicule 1,False
3065,Fascicule 2,False
3217,Volume 105 (1982),False
3218,Fascicule 1,False
3219,Fascicule 2,False
4073,Volume 104 (1981),False
4074,Fascicule 1,False
4131,Fascicule 2,False
4017,Volume 103 (1980),False
4020,Volume complet,False
3951,Volume 102 (1979),False
4190,Fascicule 1,False
3952,Fascicule 2 (Liber memorialis Paul Bartholomé),False
4364,Volume 101 (1978),False
4365,Volume complet,False
4542,Volume 100 (1977),False
4543,Volume complet,False
4866,Volume 99 (1976),False
5205,Fascicule 1,False
5206,Fascicule 2,False
5207,Table des matières,False
4861,Volume 98 (1975),False
4862,Fascicule 1,False
4863,Fascicule 2,False
5204,Table des matières,False
5165,Volume 97 (1974),False
5199,Fascicule 1,False
5200,Fascicule 2,False
5201,Table des matières,False
5166,Volume 96 (1973),False
5192,Fascicule 1,False
5193,Fascicule 2,False
5194,Fascicule 3,False
5195,Table des matières,False
5167,Volume 95 (1972),False
5187,Fascicule 1,False
5188,Fascicule 2,False
5189,Table des matières,False
5158,Volume 94 (1971),False
5159,Fascicule 1,False
5160,Fascicule 2,False
5161,Fascicule 3,False
5162,Table des matières,False
5157,Volume 93 (1970),False
5181,Fascicule 1,False
5182,Fascicule 2,False
5183,Fascicule 3,False
5184,Table des matières,False
5150,Volume 92 (1969),False
5151,Fascicule 1,False
5152,Fascicule 2,False
5153,Fascicule 3,False
5154,Table des matières,False
5142,Volume 91 (1968),False
5145,Fascicule 2,False
5143,Table des matières,False
5137,Volume 90 (1966-1967),False
5139,Table des matières,False
5132,Volume 89 (1965-1966),False
5134,Table des matières,False
5127,Volume 88 (1964-1965),False
5129,Table des matières,False
5121,Volume 87 (1963-1964),False
5123,Mémoire,False
5124,Table des matières,False
5115,Volume 86 (1962-1963),False
5117,Mémoire,False
5118,Table des matières,False
5107,Volume 85 (1961-1962),False
5109,Mémoires,False
5299,C.R. Session extraordinaire,False
5085,Volume 84 (1960-1961),False
5087,Mémoires,False
5088,Table générale des matières,False
5075,Volume 83 (1959-1960),False
5076,"Bulletin n° 1, 2, 3, 4 et 5 - octobre, novembre, décembre 1959, janvier et février 1960",False
5077,Mémoires,False
5078,C.R. Session extraordinaire,False
5079,Table générale des matières,False
5080,Volume 82 (1958-1959),False
5082,Mémoires,False
5083,C.R. Session extraordinaire,False
5084,Table générale des matières,False
5607,Volume 81 (1957-1958),False
5610,Mémoires,False
6922,Volume 80 (1956-1957),False
6923,"Bulletin n° 3, 4 et 5 - décembre 1956, janvier, février 1957",False
6928,Volume 67 (1943-1944),False
6929,Mémoires,False
6807,Volume 66 (1942-1943),False
6808,Mémoires,False
6891,Volume 65 (1941-1942),False
6892,"Bulletin n° 2, 3 et 4 - novembre, décembre 1941 et janvier 1942",False
5987,Volume 63 (1939-1940),False
5988,Bulletin n°4 - janvier 1940,False
6018,Mémoires,False
6019,Table générale des matières,False
6722,Volume 62 (1938-1939),False
6723,Bulletin n° 2-3 - novembre-décembre 1938,False
6680,Volume 61 (1937-1938),False
6681,"Bulletin n° 6, 7 et 8 - mars, avril et mai 1938",False
6304,Volume 56 (1932-1933),False
6308,"[Couverture, pages liminaires]",False
6307,Bulletin n°1 - octobre 1932,False
6316,Bulletin n°6 - mars 1933,False
6319,Bulletin n°10 - juillet 1933,False
6320,Bulletin n°11 - septembre 1933,False
6321,Table générale des matières,False
6030,Volume 53 (1929-1930),False
6031,Liste des membres,False
6032,Bulletin n°1 - octobre 1929,False
6033,Bulletin n°2 - novembre 1929,False
6042,Publication relative au Congo Belge et aux régions voisines - fascicule 1,False
6043,Publication relative au Congo Belge et aux régions voisines - fascicule 2,False
6044,Table générale des matières,False
6661,Volume 46 (1922-1923),False
6662,Publications relatives au Congo Belge et aux régions voisines - fascicule 1,False
6629,Volume 45 (1921-1922),False
6630,Publications relatives au Congo Belge et aux régions voisines,False
6528,Volume 44 (1920-1921),False
6529,Publications relatives au Congo Belge et aux régions voisines - fascicule 1,False
6598,Publications relatives au Congo Belge et aux régions voisines - fascicule 2 et dernier,False
6547,Volume 43 (1919-1920),False
6548,Publications relatives au Congo Belge et aux régions voisines,False
6508,Volume 42 (1918-1919),False
6509,Publications relatives au Congo Belge et aux régions voisines - fascicule 1,False
6611,Publications relatives au Congo Belge et aux régions voisines - fascicule 2,False
6489,Volume 41 (1913-1914),False
6490,Publications relatives au Congo Belge et aux régions voisines - fascicule 1,False
6491,Publications relatives au Congo Belge et aux régions voisines - fascicule 2 et dernier,False
6420,Volume 40 (1912-1913),False
6421,Publications relatives au Congo Belge et aux régions voisines - fascicule 1,False
6422,Publications relatives au Congo Belge et aux régions voisines - fascicule 2,False
6465,Publications relatives au Congo Belge et aux régions voisines - fascicule 3,False
6483,Publications relatives au Congo Belge et aux régions voisines - fascicule 4 et dernier,False
6351,Volume 39 (1911-1912),False
6352,Publications relatives au Congo Belge et aux régions voisines - fascicule 1,False
6371,Publications relatives au Congo Belge et aux régions voisines - fascicule 2,False
6391,Publications relatives au Congo Belge et aux régions voisines - fascicule 3 et dernier,False
6330,Volume 38 (1910-1911),False
6331,Publications relatives au Congo Belge et aux régions voisines,False
5002,Volume 2 (1874-1875),False
5003,Volume complet,False
4638,Volume 1 (1874),False
4653,Volume complet,False
3805,"Tables générales des volumes 11 à 20, 31 à 60",False
3573,Auteurs,False
3565,mots-clés,False
3566,keyword,False
3567,géographique,False
3568,chronologique,False
3569,thématique,False
